PaperID,database,authors,year,journal,doi,title,accession,pmid,review,paper_notes,source_review_paper,exclusion_notes_primary_screen
178,WOS,"Root, J. Jeffrey; Oesterle, Paul T.; Nemeth, Nicole M.; Klenk, Kaci; Gould, Daniel H.; McLean, Robert G.; Clark, Larry; Hall, Jeffrey S.",2006,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,10.4269/ajtmh.2006.75.697,Experimental infection of fox squirrels (Sciurus niger) with West Nile virus,WOS:000241214100022,17038697,N,,,
182,WOS,"LEUNG, MK; MCLINTOCK, J; IVERSEN, J",1978,CANADIAN JOURNAL OF COMPARATIVE MEDICINE-REVUE CANADIENNE DE MEDECINE COMPAREE,,INTRANASAL EXPOSURE OF RICHARDSONS GROUND-SQUIRREL TO WESTERN EQUINE ENCEPHALOMYELITIS VIRUS,WOS:A1978EX81800006,667706,N,,,
186,WOS,"SEYMOUR, C; AMUNDSON, TE; YUILL, TM; BISHOP, DHL",1983,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,10.4269/ajtmh.1983.32.1147,EXPERIMENTAL-INFECTION OF CHIPMUNKS AND SNOWSHOE HARES WITH LA CROSSE AND SNOWSHOE HARE VIRUSES AND 4 OF THEIR REASSORTANTS,WOS:A1983RM77500039,6625069,N,,,
187,WOS,"Woon, Amanda P.; Boyd, Victoria; Todd, Shawn; Smith, Ina; Klein, Reuben; Woodhouse, Isaac B.; Riddell, Sarah; Crameri, Gary; Bingham, John; Wang, Lin-Fa; Purcell, Anthony W.; Middleton, Deborah; Baker, Michelle L.",2020,PLOS PATHOGENS,10.1371/journal.ppat.1008412,Acute experimental infection of bats and ferrets with Hendra virus: Insights into the early host response of the reservoir host and susceptible model species,WOS:000523706200015,32226041,N,,,
193,WOS,"KARSTAD, LARS; SPALATIN, J.; HANSON, R. P.",1961,ZOONOSES RES,,"Natural and experimental infections with the virus of eastern encephalitis in wild rodents from Wisconsin, Minnesota, Michigan and Georgia",BCI:BCI19634300007148,NA,N,,,
197,WOS,"ADDY, PAK; LULE, M; SEKYALO, E",1982,ANNALES DE VIROLOGIE,10.1016/S0769-2617(82)80030-0,"EXPERIMENTAL-INFECTION OF ROUSSETTUS-AEGYPTIACUS E, GEOFFROY (CHIROPTERA) WITH JAPANESE-B-ENCEPHALITIS VIRUS",WOS:A1982NZ26100004,NA,N,,,
203,CLOVER,NA,1974,Infection and immunity,NA,"Experimental infection with Western equine encephalomyelitis virusin wild rodents indigenous to Kern County, California.",NA,4426699,N,,,
204,CLOVER,"Lee HW, Lee PW, and Johnson KM",1978,The Journal of infectious diseases,NA,Isolation of the etiologic agent of Korean Hemorrhagic Fever. ,NA,24670,N,,,
212,CLOVER,"Davis A, Bunning M, Gordy P, Panella N, Blitvich B, Bowen R",2005,The American journal of tropical medicine and hygiene,NA,Experimental and natural infection of North American bats with West Nile virus.,NA,16103624,N,,,
217,CLOVER,"Fulhorst C, Milazzo M, Bradley R, and Peppers L",2001,The American journal of tropical medicine and hygiene,NA,Experimental infection of Neotoma albigula (Muridae) with Whitewater Arroyo virus (Arenaviridae). A,NA,11508391,N,,,
218,CLOVER,"Gomez A, Kramer LD, Dupuis API, Kilpatrick AM, Davis LJ, Jones MJ, et al. (",2008,The American journal of tropical medicine and hygiene,NA,Experimental Infection of Eastern Gray Squirrels (Sciurus carolinensis) with West Nile Virus. ,NA,18784241,N,,,
226,WOS,"ERNEK, E; ALBRECHT, P; NOSEK, J; LICHARD, M; KOZUCH, O",1963,ACTA VIROLOGICA,,EXPERIMENTAL INFECTION OF CLETHRIONOMYS GLAREOLUS AND APODEMUS FLAVICOLLIS WITH TICK-BORNE ENCEPHALITIS VIRUS,WOS:A19632388A00004,14062331,N,,,
231,CLOVER,"Pretorius A, Oelofsen MJ, Smith MS, and van der Ryst E",1997,The American journal of tropical medicine and hygiene,NA,Rift Valley fever virus: A seroepidemiologic study of small terrestrial vertebrates in South Africa. ,NA,9430529,N,,,
241,NA,Williamson et al.,2008,Australian Veterinary Journal,10.1111/j.1751-0813.1998.tb12335.x.,"Transmission studies of Hendra virus (equine morbillivirus) in fruit bats, horses and cats",NA,9972433,N,,"Broder, 2016",
242,NA,Halpin et al.,2011,American Journal of Tropical Medicine and Hygiene,10.4269/ajtmh.2011.10-0567.,Pteropid bats are confirmed as the reservoir hosts of henipaviruses: a comprehensive experimental study of virus transmission,NA,22049055,N,,"Broder, 2016",
243,NA,Schlottau et al.,2020,Lancet Microbe,10.1016/S2666-5247(20)30089-6,"SARS-CoV-2 in fruit bats, ferrets, pigs, and chickens: an experimental transmission study",NA,32838346,N,,"Abdel-Moneim, 2020",
244,NA,Bertzbach et al.,2021,Transboundary Emerging Diseases,10.1111/tbed.13837,SARS-CoV-2 infection of Chinese hamsters (Cricetulus griseus) reproduces COVID-19 pneumonia in a well-established small animal model,NA,32946664,N,Obtained from German pet trade ,"Pramod, 2021",
245,NA,La Motte et al.,1958,American Journal of Hygiene,10.1093/oxfordjournals.aje.a119912,JAPANESE B ENCEPHALITIS IN BATS DURING SIMULATED HIBERNATION,NA,13508658,N,,"Sulkin, 1965",
246,NA,Suklin et al.,1959,Journal of Experimental Medicine,10.1084/jem.110.3.369,Studies on the Pathogenesis of Rabies in Insectivorous Bats. I. ROLE OF BROWN ADIPOSE TmSUE ,NA,13835624,N,,"Sulkin, 1965",
248,NA,Reagan & Brueckner,1951,The Cornell Veterinarian,NA,Response of the cave bat (Myotus Lucifeugu) to Newcastle disease birus by various methods of exposure,NA,14812844,N,,"Malaga-Alba, 1954",
254,NA,"Hutson CL, et al.",2015,PLOS NEGLECTED TROPICAL DISEASES,10.1371/journal.pntd.0004013,Laboratory Investigations of African Pouched Rats (Cricetomys gambianus) as a Potential Reservoir Host Species for Monkeypox Virus,NA,26517724,N,,Parker 2013,
257,NA,"Platt KB, Tucker BJ, Halbur PG, Blitvich BJ, Fabiosa FG, Mullin K, Parikh GR, Kitikoon P, Bartholomay LC, Rowley WA",2008,VECTOR-BORNE AND ZOONOTIC DISEASES,10.1089/vbz.2007.0182,Fox squirrels (Sciurus niger) develop West Nile virusviremias sufficient for infecting select mosquito species.  8:225–233,NA,18240969,N,,Root 2013,
258,NA,"Tiawsirisup S, Blitvich BJ, Tucker BJ, Halbur PG, Bartholomay LC, Rowley WA, Platt KB",2010,VECTOR-BORNE AND ZOONOTIC DISEASES,10.1089/vbz.2008.0158,Susceptibility of fox squirrels (Sciurus niger) to West Nile virusby oral exposure,NA,19402765,N,,Root 2013,
259,NA,"Platt KB, Tucker BJ, Halbur PG, Tiawsirisup S, Blitvich BJ, Fabiosa FG, Bartholomay LC, Rowley WA",2007,Emerging Infectious Diseases,10.3201/eid1306.061008,West Nile virusviremia in eastern chipmunks (Tamias striatus) sufficient for infecting different mosquitoes,NA,17553220,N,,Root 2013,
261,NA,"OELOFSEN, M. J., AND E. VAN DER RYST",1999,Onderstepoort Journal of Veterinary Research,NA,Could bats act as reservoir hosts for Rift Valley fever virus?,NA,10396763,N,,Olive 2013,
265,NA,"FINDLAY, G. M.",1931,Transactions of the Royal Society of Tropical Medicine and Hygiene,10.1016/S0035-9203(32)90042-X,Rift Valley fever or enzootic hepatitis,NA,NA,N,I believe this is the full researches that is briefly summarised in the short communication below on row 267.,Olive 2013,Unclear whether the rodents are wild trapped or not.
273,NA,"R. Franka, N. Johnson, T. Mu¨ller, A. Vos, L. Neubert, C. Freuling, C. E. Rupprecht and A. R. Fooks",2008,Journal of general virology,10.1099/vir.0.83688-0,Susceptibility of North American big brown bats (Eptesicus fuscus) to infection with European bat lyssavirus type 1,NA,18632972,N,,"Baynard, 2013",
274,NA,Freuling et al,2009,Journal of general virology,10.1099/vir.0.011510-0,Experimental infection of serotine bats (Eptesicus serotinus) with European bat lyssavirus type 1a,NA,18632972,N,,"Baynard, 2013",
276,NA,"Nicholas Johnson, Ad Vos, Larissa Neubert, Conrad Freuling, Karen L. Mansfield, Ingrid Kaipf, Annette Denzinger, Dan Hicks, Alex Nu´ n˜ez, Richard Franka, Charles E. Rupprecht,5 Thomas Mu¨ller3 and Anthony R. Fooks1",2008,Journal of General Virology,10.1099/vir.0.2008/003889-0.,Experimental study of European bat lyssavirus type-2 infection in Daubenton's bats (Myotis daubentonii),NA,18931061,N,,"Baynard, 2013",
278,NA,Javier A. Moreno and George M. Baer,1980,The American Society of Tropical Medicine and Hygiene,10.4269/ajtmh.1980.29.254,Experimental rabies in the vampire bat.,NA,7369444,N,,"Baynard, 2013",
279,NA,"M. F. ALME IDA, L. F. A. MARTORELL , C. C. A IRES, P. C. SALLUM , E. L. DUR IGON AND E. MASSAD",2005,Epidemiol. Infect. (,10.1017/S0950268804003656,Experimental rabies infection in haematophagous bats Desmodus rotundus.,NA,15962559,N,,"Baynard, 2013",
280,NA,"Rodrigues, Y. J. L., and Tamayo, J. G.",2000,Rev. Fac. Cs. Vets,NA,Pathology of experimental infection with therabies virus in hematophagous bat (Desmodus rotundus).,NA,NA,N,,"Baynard, 2013",
281,NA,"A. AGU ILAR -SET IEN, E. LOZA -RUB IO , M. SALAS -ROJAS , N. BR ISSEAU , F. CL IQUET , P.-P. PASTORET , S. ROJAS -DOTOR , E. TESORO AND R. KRETSCHMER",2005,Epidemiol Infect,10.1017/S0950268805003705,Salivary excretion of rabies virus by healthy vampire bats,NA,15966107,N,,"Baynard, 2013",
282,NA,"S. EDWARD SULKIN, PHILIP H. KRUTZSCH, CRAIG WALLIS, AND RAE ALLEN",1957,Proc Soc Exp Biol Med,10.3181/00379727-96-23507,Role of Brown Fat in Pathogenesis of Rabies in Insectivorous Bats ( Tadarida 6. mexicana,NA,13485132,N,,"Baynard, 2013",
284,NA,Turmelle et al.,2010,Journal of General Virology,10.1099/vir.0.020073-0,Host immunity to repeated rabies virus infection in big brown bats,NA,20519458,N,,"Baynard, 2013",
285,NA,McColl et al.,2002,Australian Veterinary Journal,10.1111/j.1751-0813.2002.tb10973.x,Pathogenesis studies with Australian bat lyssavirus in grey-headed flying foxes (Pteropus poliocephalus),NA,12465817,N,,"Baynard, 2013",
292,NA,"Sulkin, S. E. ;  Sims, Ruth ;  Allen, R.",1964,American Journal of Tropical Medicine and Hygiene,NA,Studies of Arthropod-Borne Virus Infections in Chiroptera. II. Experiments with Japanese B and St. Louis Encephalitis Viruses in the Gravid Bat. Evidence of Transplacental Tranmission.,NA,14162904,,,"Sulkin, 1965",
301,NA,"PATRICIA L. MARION, SUSAN s. KNIGHT, FELIX H. SALAZAR, HANS POPPER, AND WILLIAM S. ROBINSON",1983,Hepatology,0270-9139/83/0304-0519$02.00/0,Ground Squirrel Hepatitis Virus Infection,NA,NA,N,,"Tenant, 2008",
304,NA,"R Swanepoel, P A Leman, F J Burt, N A Zachariades, L E Braack, T G Ksiazek, P E Rollin, S R Zaki, C J Peters",1996,Emerging Infectious Disease,10.3201/eid0204.960407,Experimental Inoculation of Plants and Animals with Ebola Virus,NA,8969248,N,,"Schuh_A, 2017",
305,NA,"Janusz T. Paweska ,Petrus Jansen van Vuren,Justin Masumu,Patricia A. Leman,Antoinette A. Grobbelaar,Monica Birkhead,Sarah Clift,Robert Swanepoel,Alan Kemp",2012,PLOS One,https://doi.org/10.1371/journal.pone.0045479,Virological and Serological Findings in Rousettus aegyptiacus Experimentally Inoculated with Vero Cells-Adapted Hogan Strain of Marburg Virus,NA,NA,N,,"Schuh_A, 2017",
306,NA,"M M Williamson, P T Hooper, P W Selleck, L J Gleeson, P W Daniels, H A Westbury, P K Murray",1998,Aust V J,10.1111/j.1751-0813.1998.tb12335.x,"Transmission studies of Hendra virus (equine morbillivirus)in fruit bats, horses and cats.",NA,9972433,N,,"Clayton, 2012",
307,NA,"D G Constantine, D F Woodall",1966,Am J Vet Res,NA,"Transmission experiments with bat rabies isolates: reactions of certain Carnivora, opossum, rodents, and bats to rabies virus of red bat origin when exposed by bat bite or by intrasmuscular inoculation",NA,5913032,N,,"Kuzmin, 2007",
308,NA,Kuzmin and Botvinkin,1996,Myotis,NA,The behaviour of bats Pipistrellus pipistrellus after experimental inoculation with rabies and rabies-like viruses and some aspects of pathogenesis,NA,NA,N,,"Kuzmin, 2007",
309,NA,Kirejczyk et al,2022,Viruses-Basel,10.3390/v14061278,"Histopathologic and Immunohistochemical Evaluation of Induced Lesions, Tissue Tropism and Host Responses following Experimental Infection of Egyptian Rousette Bats (Rousettus aegyptiacus) with the Zoonotic Paramyxovirus, Sosuga Virus",NA,35746749,N,,,
327,NA,"R. Swanepoel, N. K. Blackburn, S. Efstratiou, and J. B. Condy",1978,J Hyg (Lond).,10.1017/s0022172400053535,Studies on Rift Valley fever in some African murids (Rodentia: Muridae).,NA,632561,N,,"Rostal, 2017",
334,NA,"Kevin Ciminski, Wei Ran, Marco Gorka, Jinhwa Lee, Ashley Malmlov , Jan Schinköthe, Miles Eckley, Reyes A. Murrieta , Tawfik A. Aboellail , Corey L. Campbell , Gregory D. Ebel , Jingjiao Ma, Anne Pohlmann , Kati Franzke , Reiner Ulrich, Donata Hoffmann , Adolfo García-Sastre, Wenjun Ma, Tony Schountz, Martin Beer, and Martin Schwemmle ",2019,Nature Microbiology ,https://doi.org/10.1038/s41564-019-0556-9,Bat influenza viruses transmit among bats but are poorly adapted to non-bat species,NA,NA,N,,,
335,NA,J. L. Pawan,1948,Annals of Tropical Medicine & Parasitology,https://doi.org/10.1080/00034983.1948.11685359,Fruit-Eating Bats and Paralytic Rabies in Trinidad,NA,NA,N,,,
336,NA,J. L. Pawan,1936,Annals of Tropical Medicine & Parasitology,https://doi.org/10.1080/00034983.1936.11684948,"Rabies in the Vampire Bat of Trinidad, with Special Reference to the Clinical Course and the Latency of Infection",NA,NA,N,,,
337,NA,M.M. Williamson,1999,Journal of Comparative Pathology,doi:10.1053/jcpa.1999.0364,Experimental Hendra Virus Infection in Pregnant Guinea-pigs and Fruit Bats (Pteropus poliocephalus),NA,10684689,N,,Baker et al 2012,
338,NA,Ganem et al,1982,Journal of Virology,10.1128/jvi.44.1.366-373.1982,Biological Characterization of Acute Infection with Ground Squirrel Hepatitis Virus,NA,7143570,N,,"Trueba, 1985.pdf",
339,NA,Aitken et al ,1975,American Journal of Tropical Medicine and Hygiene,10.4269/ajtmh.1975.24.358,"Pacui virus, phlebotomine flies, and small mammals in Brazil: an epidemiological study",NA,235226,N,,"McLean, 1982.pdf",
